id;title;description;publication_date;price
1;Table Fish;Dynamic programming;2021-09-10;32786
2;Bahrain Principal;radical Configuration Director;2021-09-10;45797
3;Pass;Borders Sudan Mall;2021-09-10;96215
4;interfaces auxiliary Pula;Paradigm Optimization calculating;2021-09-09;14541
5;Alaska Soft FTP;Georgia Generic;2021-09-09;16847
6;bus;cross-platform;2021-09-09;78128
7;Berkshire Jordanian application;turn-key Soft;2021-09-09;83632
8;Club architectures;generate Ports syndicate;2021-09-10;11906
9;e-business indigo Account;Sweden Personal programming;2021-09-09;341
10;Developer;Future-proofed;2021-09-10;93660
